,Date,Position,artist,song,woc
86,03/28/2022,87,FRANK OCEAN,LOST,13
87,03/28/2022,88,HAZEY,PACKS AND POTIONS,10
88,03/28/2022,89,DOJA CAT,WOMAN,31
89,03/28/2022,90,LABRINTH,ALL FOR US,9
90,03/28/2022,91,CKAY,LOVE NWANTITI (AH AH AH),28
91,03/28/2022,92,JOEL CORRY FT MABEL,I WISH,21
92,03/28/2022,93,M HUNCHO FT GIGGS,LEAN,1
93,03/28/2022,94,LUCKY DAYE,OVER,1
94,03/28/2022,95,IMAGINE DRAGONS,BONES,2
95,03/28/2022,96,BECKY HILL &amp; TOPIC,MY HEART GOES (LA DI DA),29
96,03/28/2022,97,TOM GRENNAN,REMIND ME,1
97,03/28/2022,98,STRAY KIDS,MANIAC,1
98,03/28/2022,99,PHARRELL WILLIAMS,JUST A CLOUD AWAY,1
99,03/28/2022,100,CENTRAL CEE,RETAIL THERAPY,11
0,03/28/2021,1,NATHAN EVANS/220KID/BILLEN TED,WELLERMAN,9
1,03/28/2021,2,A1 &amp; J1,LATEST TRENDS,7
2,03/28/2021,3,JUSTIN BIEBER/CAESAR/GIVEON,PEACHES,1
3,03/28/2021,4,RITON/NIGHTCRAWLERS/MUFASA,FRIDAY,10
4,03/28/2021,5,TIESTO,THE BUSINESS,19
5,03/28/2021,6,JOEL CORRY/RAYE/DAVID GUETTA,BED,4
6,03/28/2021,7,KSI FT YUNGBLUD &amp; POLO G,PATIENCE,2
7,03/28/2021,8,ANNE-MARIE/KSI/DIGITAL FARM,DON'T PLAY,10
8,03/28/2021,9,LIL TJAY &amp; 6LACK,CALLING MY PHONE,6
9,03/28/2021,10,JUSTIN BIEBER,HOLD ON,3
10,03/28/2021,11,CENTRAL CEE,COMMITMENT ISSUES,6
11,03/28/2021,12,ATB/TOPIC/A7S,YOUR LOVE (9PM),9
12,03/28/2021,13,TOM GRENNAN,LITTLE BIT OF LOVE,8
13,03/28/2021,14,TRAVIS SCOTT &amp; HVME,GOOSEBUMPS,12
14,03/28/2021,15,WEEKND,SAVE YOUR TEARS,11
15,03/28/2021,16,DOJA CAT,STREETS,11
16,03/28/2021,17,CARDI B,UP,7
17,03/28/2021,18,AVA MAX,MY HEAD &amp; MY HEART,12
18,03/28/2021,19,ELLA HENDERSON &amp; TOM GRENNAN,LET'S GO HOME TOGETHER,5
19,03/28/2021,20,SHANE CODD,GET OUT MY HEAD,21
20,03/28/2021,21,OLIVIA RODRIGO,DRIVERS LICENSE,11
21,03/28/2021,22,SILK SONIC/BRUNO MARS/PAAK,LEAVE THE DOOR OPEN,3
22,03/28/2021,23,MASKED WOLF,ASTRONAUT IN THE OCEAN,7
23,03/28/2021,24,JUSTIN BIEBER FT KHALID,AS I AM,1
24,03/28/2021,25,GLASS ANIMALS,HEAT WAVES,19
25,03/28/2021,26,CENTRAL CEE,6 FOR 6,2
26,03/28/2021,27,NAVOS,BELIEVE ME,7
27,03/28/2021,28,KID LAROI,WITHOUT YOU,19
28,03/28/2021,29,DUA LIPA,WE'RE GOOD,6
29,03/28/2021,30,D-BLOCK EUROPE/RAYE,FERRARI HORSES,4
30,03/28/2021,31,RAG'N'BONE MAN,ALL YOU EVER WANTED,7
31,03/28/2021,32,DRAKE,WHAT'S NEXT,3
32,03/28/2021,33,DRAKE FT RICK ROSS,LEMON PEPPER FREESTYLE,3
33,03/28/2021,34,WEEKND,BLINDING LIGHTS,69
34,03/28/2021,35,JOEL CORRY FT MNEK,HEAD &amp; HEART,38
35,03/28/2021,36,DUA LIPA,LEVITATING,30
36,03/28/2021,37,DUNCAN LAURENCE,ARCADE,12
37,03/28/2021,38,MEDUZA FT DERMOT KENNEDY,PARADISE,21
38,03/28/2021,39,GRIFF,BLACK HOLE,1
39,03/28/2021,40,LIL TJAY/POLO G/FIVIO FOREIGN,HEADSHOT,1
40,03/28/2021,41,DIGGA D &amp; AJ TRACEY,BRINGING IT BACK,7
41,03/28/2021,42,GIVEON,HEARTBREAK ANNIVERSARY,4
42,03/28/2021,43,JAMES ARTHUR,MEDICINE,3
43,03/28/2021,44,DRAKE FT LIL BABY,WANTS AND NEEDS,3
44,03/28/2021,45,FREDO FT DAVE,MONEY TALKS,8
45,03/28/2021,46,SAWEETIE FT DOJA CAT,BEST FRIEND,11
46,03/28/2021,47,KALI UCHIS,TELEPATIA,5
47,03/28/2021,48,TOM ZANETTI,DIDN'T KNOW,5
48,03/28/2021,49,MAJESTIC &amp; BONEY M,RASPUTIN,3
49,03/28/2021,50,LITTLE MIX,SWEET MELODY,22
50,03/28/2021,51,LANA DEL REY,WHITE DRESS,1
51,03/28/2021,52,CENTRAL CEE,DAY IN THE LIFE,3
52,03/28/2021,53,FREDO FT SUMMER WALKER,READY,8
53,03/28/2021,54,24KGOLDN FT IANN DIOR,MOOD,32
54,03/28/2021,55,POLO G,MARTIN &amp; GINA,24
55,03/28/2021,56,LEWIS CAPALDI,SOMEONE YOU LOVED,113
56,03/28/2021,57,YUNG BLEU FT DRAKE,YOU'RE MINES STILL,15
57,03/28/2021,58,JAE5 FT SKEPTA &amp; REMA,DIMENSION,1
58,03/28/2021,59,WEWANTWRAITHS,KNOW YOU,1
59,03/28/2021,60,TONES &amp; I,DANCE MONKEY,84
60,03/28/2021,61,JORJA SMITH,ADDICTED,2
61,03/28/2021,62,LANA DEL REY,CHEMTRAILS OVER THE COUNTRY CLUB,3
62,03/28/2021,63,MACHINE GUN KELLY FT CORPSE,DAYWALKER,2
63,03/28/2021,64,ELYOTTO,SUGARCRASH,5
64,03/28/2021,65,AJ TRACEY,ANXIOUS,3
65,03/28/2021,66,MAROON 5/MEGAN THEE STALLION,BEAUTIFUL MISTAKES,2
66,03/28/2021,67,HARRY STYLES,WATERMELON SUGAR,56
67,03/28/2021,68,MOOSKI,TRACK STAR,1
68,03/28/2021,69,CJ,WHOOPTY,22
69,03/28/2021,70,TATE MCRAE,YOU BROKE ME FIRST,35
70,03/28/2021,71,ARIANA GRANDE,34+35,21
71,03/28/2021,72,SZA,GOOD DAYS,13
72,03/28/2021,73,SAM FISCHER &amp; DEMI LOVATO,WHAT OTHER PEOPLE SAY,6
73,03/28/2021,74,PAUL WOOLFORD &amp; AMBER MARK,HEAT,5
74,03/28/2021,75,DIGGA D,TOXIC,5
75,03/28/2021,76,ED SHEERAN,AFTERGLOW,14
76,03/28/2021,77,GORGON CITY &amp; DRAMA,YOU'VE DONE ENOUGH,4
77,03/28/2021,78,KILLERS,MR BRIGHTSIDE,260
78,03/28/2021,79,MILEY CYRUS FT DUA LIPA,PRISONER,18
79,03/28/2021,80,BAD BOY CHILLER CREW,DON'T YOU WORRY ABOUT ME,4
80,03/28/2021,81,LANA DEL REY,TULSA JESUS FREAK,1
81,03/28/2021,82,JAMES HYPE FT HARLEE,AFRAID,6
82,03/28/2021,83,MILEY CYRUS,MIDNIGHT SKY,32
83,03/28/2021,84,ED SHEERAN,PERFECT,165
84,03/28/2021,85,COI LERAY FT LIL DURK,NO MORE PARTIES,2
85,03/28/2021,86,INTERNET MONEY/GUNNA/TOLIVER,LEMONADE,32
86,03/28/2021,87,LEWIS CAPALDI,BEFORE YOU GO,66
87,03/28/2021,88,BUGZY MALONE FT EMELI SANDE,WELCOME TO THE HOOD,1
88,03/28/2021,89,DIGGA D,BLUUWUU,4
89,03/28/2021,90,ABRA CADABRA,MIXED EMOTIONS,6
90,03/28/2021,91,LADY GAGA &amp; BRADLEY COOPER,SHALLOW,101
91,03/28/2021,92,RYN WEAVER,PIERRE,4
92,03/28/2021,93,SAINT JHN,ROSES,56
93,03/28/2021,94,POP SMOKE,WHAT YOU KNOW BOUT LOVE,27
94,03/28/2021,95,M1LLIONZ FT LOTTO ASH,HOW MANY TIMES,1
95,03/28/2021,96,GYM CLASS HEROES,CUPID'S CHOKEHOLD,24
96,03/28/2021,97,SAVA/FUMEZ THE ENGINEER/BM,PLUGGED IN FREESTYLE,1
97,03/28/2021,98,NOIZU,SUMMER 91 (LOOKING BACK),2
98,03/28/2021,99,CLEAN BANDIT FT IANN DIOR,HIGHER,7
99,03/28/2021,100,AURORA,RUNAWAY,1
0,03/28/2020,1,SAINT JHN,ROSES,12
1,03/28/2020,2,WEEKND,BLINDING LIGHTS,17
2,03/28/2020,3,RODDY RICCH,THE BOX,14
3,03/28/2020,4,JOEL CORRY,LONELY,9
4,03/28/2020,5,DUA LIPA,PHYSICAL,8
5,03/28/2020,6,DUA LIPA,DON'T START NOW,21
6,03/28/2020,7,DOJA CAT,SAY SO,13
7,03/28/2020,8,AITCH/AJ TRACEY/TAY KEITH,RAIN,3
8,03/28/2020,9,JUSTIN BIEBER FT QUAVO,INTENTIONS,7
9,03/28/2020,10,EMINEM FT JUICE WRLD,GODZILLA,10
10,03/28/2020,11,MABEL,BOYFRIEND,4
11,03/28/2020,12,BILLIE EILISH,NO TIME TO DIE,6
12,03/28/2020,13,HARRY STYLES,ADORE YOU,16
13,03/28/2020,14,TONES &amp; I,DANCE MONKEY,34
14,03/28/2020,15,BECKY HILL FT SHIFT K3Y,BETTER OFF WITHOUT YOU,11
15,03/28/2020,16,HALSEY,YOU SHOULD BE SAD,11
16,03/28/2020,17,WEEKND,IN YOUR EYES,1
17,03/28/2020,18,LADY GAGA,STUPID LOVE,4
18,03/28/2020,19,POWFU FT BEABADOOBEE,DEATH BED,6
19,03/28/2020,20,HARRY STYLES,FALLING,9
20,03/28/2020,21,BENEE FT GUS DAPPERTON,SUPALONELY,3
21,03/28/2020,22,LIL MOSEY,BLUEBERRY FAYGO,7
22,03/28/2020,23,WEEKND,AFTER HOURS,5
23,03/28/2020,24,SAM SMITH,TO DIE FOR,6
24,03/28/2020,25,LEWIS CAPALDI,BEFORE YOU GO,19
25,03/28/2020,26,24KGOLDN,CITY OF ANGELS,6
26,03/28/2020,27,JONAS BROTHERS,WHAT A MAN GOTTA DO,10
27,03/28/2020,28,KHALID &amp; DISCLOSURE,KNOW YOUR WORTH,7
28,03/28/2020,29,STORMZY/ED SHEERAN/BURNA BOY,OWN IT,18
29,03/28/2020,30,LEWIS CAPALDI,SOMEONE YOU LOVED,65
30,03/28/2020,31,JAX JONES/SOLVEIG/RAYE/EUROPA,TEQUILA,5
31,03/28/2020,32,DOJA CAT,BOSS BITCH,4
32,03/28/2020,33,NIALL HORAN,NO JUDGEMENT,7
33,03/28/2020,34,NATHAN DAWE FT JAYKAE,FLOWERS,7
34,03/28/2020,35,ANNE-MARIE,BIRTHDAY,7
35,03/28/2020,36,SURFACES,SUNDAY BEST,6
36,03/28/2020,37,FREDO,SCORPION,1
37,03/28/2020,38,TORY LANEZ FT CHRIS BROWN,THE TAKE,4
38,03/28/2020,39,MASTERMIND FT BANDOKAY,WAR,1
39,03/28/2020,40,J HUS FT BURNA BOY,PLAY PLAY,9
40,03/28/2020,41,JP SAXE FT JULIA MICHAELS,IF THE WORLD WAS ENDING,13
41,03/28/2020,42,DERMOT KENNEDY,POWER OVER ME,13
42,03/28/2020,43,POP SMOKE,DIOR,6
43,03/28/2020,44,DRIPREPORT,SKECHERS,2
44,03/28/2020,45,FUTURE FT DRAKE,LIFE IS GOOD,11
45,03/28/2020,46,DA BEATFREAKZ FT K&amp;K/DBE/DENO,SELF-OBSESSED,3
46,03/28/2020,47,MEGAN THEE STALLION,SAVAGE,1
47,03/28/2020,48,YNW MELLY,SUICIDAL,11
48,03/28/2020,49,ASHE,MORAL OF THE STORY,5
49,03/28/2020,50,LEWIS CAPALDI,BRUISES,37
50,03/28/2020,51,ED SHEERAN,PERFECT,119
51,03/28/2020,52,BILLIE EILISH,BAD GUY,52
52,03/28/2020,53,ILL BLU/OFB/BANDOKAY/DOUBLE LZ,MAGIC,2
53,03/28/2020,54,ARIZONA ZERVAS,ROXANNE,21
54,03/28/2020,55,MUSTARD FT RODDY RICCH,BALLIN',13
55,03/28/2020,56,BILLIE EILISH,EVERYTHING I WANTED,19
56,03/28/2020,57,RODDY RICCH FT MUSTARD,HIGH FASHION,11
57,03/28/2020,58,SAM FISCHER,THIS CITY,7
58,03/28/2020,59,OCTAVIAN &amp; SKEPTA,PAPI CHULO,2
59,03/28/2020,60,CAMILA CABELLO FT DABABY,MY OH MY,16
60,03/28/2020,61,ALI GATIE,WHAT IF I TOLD YOU THAT I LOVE YOU,9
61,03/28/2020,62,DOJA CAT FT GUCCI MANE,LIKE THAT,2
62,03/28/2020,63,DOLLY PARTON &amp; KENNY ROGERS,ISLANDS IN THE STREAM,5
63,03/28/2020,64,TINIE TEMPAH FT NOT3S,TOP WINNERS,1
64,03/28/2020,65,SZA &amp; JUSTIN TIMBERLAKE,THE OTHER SIDE,4
65,03/28/2020,66,KENNY ROGERS,THE GAMBLER,7
66,03/28/2020,67,PUSSYCAT DOLLS,REACT,7
67,03/28/2020,68,POST MALONE,CIRCLES,30
68,03/28/2020,69,MAROON 5,MEMORIES,27
